Date_Extracted,Grade_Level,Unit,Resource,Location,Instructional_Moment,Page_Numbers,Improvement_Description,Improvement_Type,Date_Updated
2025-12-06,Kindergarten,Unit 1,Teacher Guide,"Section B, Lesson 7, Activity 2, Launch",,59,"The three dots displayed are from Activity 1, not the Warm-up.",,2025-08-28
2025-12-06,Kindergarten,Unit 2,Teacher Edition Glossary,,,346-347,Number Writing Reference page with 6-10 included.,,2025-08-04
2025-12-06,Kindergarten,Unit 2,Teacher Guide,"Table Of Contents, Pg. I",,,Section B title has been updated to Count and Compare Groups of Images.,,2025-09-08
2025-12-06,Kindergarten,Unit 2,Teacher Guide,Center Overview,,141,"Number Race should not include Activities A3.3, A4.3, A5.3 and A6.3. Number Race is not introduced as a Center until Lesson 9.",,2025-09-08
2025-12-06,Kindergarten,Unit 3,Teacher Guide,"Section B, Lesson 13",,126,"The Learning Goals have been updated to use the word ""beside"" in both goals, instead of ""behind.""",,2025-08-15
2025-12-06,Kindergarten,Unit 3,Teacher Guide,"End-of-unit Assessment, Problem 4 Narrative",,153,"The teacher narrative does not match the image. It mentions a beaker full of water. Text has been updated to match the image. ""Students identify triangles and rectangles in an image. It is not essential for the student to identify every rectangle or triangle. Students may also select items, such as the blades of the scissors, as representing a triangle. This probably means that they are imagining the third side even though it is not drawn. As long as students have the idea that a triangle has 3 sides and 3 corners, they are meeting the standard.""",,2025-09-11
2025-12-06,Kindergarten,Unit 4,"Teacher Course Guide, Lesson 15, Lesson Synthesis",,,304,The first dialogue prompt says “Clare drew this picture to match the expression. She says that she can use the same drawing to match 5 − 3. What do you think?” The expression has been updated to 5 + 3.,,2025-07-30
2025-12-06,Kindergarten,Unit 4,"Teacher Resource Pack, Family Support Materials",,,110,The link to the Family Support videos is incorrect in print. It has been updated to ilclass.com/r/813570.,,2025-09-19
2025-12-06,Kindergarten,Unit 4,"Student Workbook, Section C, Lesson 15, Activity 1",,,80,The last image (6 yellow circles with 3 crossed out) and the expression 7+0 are missing from the bottom of the page. They are shown in the Teacher Guide.,,2025-09-19
2025-12-06,Kindergarten,Unit 4,"Student Workbook, Section A, Lesson 4, Activity 1, Problems 3 And 4",,,19,Problems 3 and 4 have the same numbers as problems 1 and 2. They have been updated. 3. Count 2 counters. Add 4 more... 4. Count 6 counters. Add 3 more...,,2025-09-19
2025-12-06,Kindergarten,Unit 4,"Student Workbook, Section C, Lesson 15, Activity 2",,,81,"Student workbook is missing the last 4 expressions that are a part of this activity. The student workbook page is specifically missing the ""fill in what's missing"" for the expressions 8-2, 3+7, 1+6, and 6-3.",,2025-09-19
2025-12-06,Kindergarten,Unit 5,Teacher Guide,"Section C, Lesson 13, Activity 2",,134,"The Teacher Guide only shows the preview image for 1 page of the Student Workbook, instead of both pages for Activity 2. However, both pages are included in the Student Workbook (pgs. 80 and 81).",,2025-09-19
2025-12-06,Grade 1,Unit 1,Teacher Guide,"Section A, Lesson 2 Warm-up",,24,"Changed title of Warm-Up to ""Counting Collections: Count to 39"" to match the directions in the Teacher's Notes.",,2024-03-19
2025-12-06,Grade 1,Unit 1,Teacher Guide,"Section B, Lesson 8, Warm-up",,70,"Changed response in ILC from ""B, C, and D go together because they are small and black"" to ""B, C, and D go together because they are small and purple"" to match student book and digital illustrations.",,2024-03-20
2025-12-06,Grade 1,Unit 1,Teacher Guide,"Section B, Lesson 8",,71,"Printable Teacher Resource Pack has shapes that are not filled to match the Teacher Edition. The correct TRP is linked under materials in 1.8. For those using the print TRP, the correspondence is black shapes to vertical stripe-filled shapes; gray shapes to dot-filled shapes; white shapes to white shapes.",,2024-07-29
2025-12-06,Grade 1,Unit 2,"Student Workbook, Section A, Lesson 2, Warm-up, Student Task Statement",,,9,"The question in the Warm-up should ask ""How can you act out this story?""",,2025-09-08
2025-12-06,Grade 1,Unit 2,Teacher Guide,"Section A, Lesson 3, Inspire Math Video Qr Code",,172,"QR code is linked to the incorrect Inspire Math video. It should be linked to Grade 1, Unit 2. URL is correct.",,2025-09-08
